Source,https://words.hk/faiman/analysis/charcount/
"
",102753
"",102753
 ,61642
!,679
$,212
%,1577
',201
(,3053
),3214
+,127
",",3450
-,2526
.,5661
/,4781
0,7112
1,8275
2,6593
3,2796
4,2414
5,2567
6,3406
7,1895
8,2245
9,2726
?,812
A,4233
B,2168
C,2782
D,4058
E,4241
F,1423
G,952
H,880
I,1932
J,2463
K,1223
L,2478
M,1835
N,1029
O,3327
P,1290
Q,270
R,1319
S,2839
T,2345
U,437
V,920
W,1722
X,338
Y,578
Z,336
],1065
a,26359
b,4836
c,8540
d,6552
e,28076
f,3478
g,4766
h,7567
i,17785
j,687
k,3965
l,15719
m,9498
n,20888
o,18031
p,6397
q,252
r,13164
s,12524
t,15616
u,9036
v,2388
w,3928
x,746
y,5338
z,565
£,2
’,207
“,171
”,215
…,10231
⋯,515
、,8869
。,80516
《,1399
》,1399
「,25003
」,24977
㗎,1203
㩒,18
㷫,8
一,43155
七,884
丈,62
三,3393
上,9135
下,9229
不,12796
且,1248
世,3245
中,7237
串,182
主,2499
久,289
之,8609
乎,1529
乏,114
乘,229
乜,2135
九,868
亂,914
了,2236
事,6588
二,2429
互,333
五,1436
亞,543
亡,269
交,1272
亦,3675
享,356
京,107
人,27688
今,2971
介,477
仍,1048
仔,4345
他,2477
付,316
代,2040
令,1889
以,15068
仰,82
仲,5565
件,1880
任,1538
份,1787
企,1898
伐,54
休,349
伯,383
估,1033
伴,174
似,4306
但,10516
佈,191
位,2184
低,1817
住,7460
佔,253
何,1746
作,3247
你,24899
佢,22558
佩,46
佬,872
使,1425
來,4710
例,1413
侍,62
供,336
依,3590
侵,88
侶,111
侷,4
便,569
係,63031
促,82
俄,30
俚,8
保,1061
信,2126
俬,8
修,417
俾,3492
個,28552
們,808
倒,531
候,1794
借,329
倡,34
倫,180
值,815
假,857
偈,121
偏,454
做,8114
停,625
側,213
偶,165
傘,56
備,451
傢,17
傲,64
傳,1195
傷,554
傾,722
像,637
僑,24
僚,11
僱,44
價,899
儀,158
儈,6
儘,46
優,306
儲,168
儼,7
元,404
兄,396
充,420
先,5872
光,1249
克,153
免,527
兒,511
入,5163
內,1220
全,3735
兩,3690
八,1114
公,3184
六,949
共,787
其,7022
具,347
兼,203
冇,4200
再,5091
冧,90
冬,104
冰,139
冷,654
凍,197
凸,55
凹,25
出,9939
函,18
分,4275
列,555
初,922
判,344
別,1203
利,1448
到,20185
制,903
刻,2302
則,760
前,4066
剛,175
剩,273
剪,94
創,376
剷,49
劃,323
劇,602
力,3431
功,903
加,2823
助,292
努,380
勁,342
勉,121
動,2836
務,511
勞,211
勢,631
勻,40
包,945
化,1740
北,483
匪,106
匿,67
區,949
十,3394
千,1065
卅,16
升,671
午,193
半,1351
卑,66
協,115
南,514
博,236
卡,534
印,493
危,261
即,3954
卷,124
卻,227
厚,211
原,2422
去,11523
參,492
又,8917
及,990
友,3206
反,2324
叔,604
取,619
受,1833
口,3250
古,760
句,2325
另,1386
只,5752
叫,3440
可,12178
台,1087
史,919
右,517
司,1419
叻,224
吃,240
各,907
合,1548
同,15872
名,2038
向,1876
吓,823
吖,288
吠,14
否,433
含,190
吸,467
吹,498
呀,6489
呃,246
呎,46
呢,15908
周,583
味,911
呻,53
呼,561
命,1123
咁,18507
咋,245
和,785
咖,252
咗,9088
咦,153
咩,6911
咪,3250
哀,126
品,1224
哂,272
哈,2615
哋,4932
哎,112
員,1023
哥,937
哦,464
唉,269
唔,36779
唞,26
唯,491
唱,723
商,487
啊,726
問,4872
啖,146
啦,7955
啫,763
啱,1078
啲,7892
喂,649
善,375
喇,1529
喊,414
喎,1444
喜,520
喝,177
喪,142
單,2014
喺,6487
喻,93
嗌,142
嗎,302
嗯,181
嗰,3361
嗱,153
嗲,25
嘅,31950
嘆,211
嘈,239
嘗,371
嘛,1040
嘞,247
嘢,4347
嘥,46
嘩,567
嘴,449
噏,80
嚇,312
嚟,5318
嚮,28
嚴,343
嚿,35
囉,1637
四,1814
回,1875
因,4759
囡,48
困,203
固,203
圈,263
國,3629
圍,728
園,362
圖,1079
團,463
土,635
在,3120
地,10726
址,70
坊,126
坐,1081
坡,57
坦,235
型,460
埃,60
埋,3825
城,885
埗,42
域,100
執,704
培,60
基,948
堂,709
堅,461
堆,675
報,1114
場,2048
塊,415
塘,159
填,207
境,561
增,214
壓,434
壞,389
壤,11
士,1433
夏,176
外,2666
多,10455
夜,732
夠,2039
夢,455
夥,18
大,15586
天,2881
太,2461
夫,330
失,1620
夾,354
奇,884
奈,210
奏,83
契,116
套,658
女,5314
奴,90
奶,230
奸,95
她,541
好,26286
如,7224
妥,69
妳,20
妹,466
妻,128
姊,71
始,2394
姐,521
威,448
娛,100
婆,924
婚,831
婦,116
媒,176
媽,1086
嫁,483
嫲,238
嬲,355
子,2684
孔,108
字,2917
存,636
季,116
孤,156
孩,201
孫,151
學,5735
守,355
安,1493
完,3991
官,565
定,5094
宜,236
客,868
宣,264
室,474
害,335
宴,54
家,9436
容,1215
宿,118
密,388
