glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
東,U+6771,端開一平東,德紅,tung,dōng,dung1
菄,U+83C4,端開一平東,德紅,tung,dōng,dung1
鶇,U+9D87,端開一平東,德紅,tung,dōng,dung1
䍶,U+4376,"澄開三平眞B
端開一去東
端開一平東","直珍
多貢
德紅","drin
tungh
tung",dōng,dung1
𠍀,U+20340,端開一平東,德紅,tung,,
倲,U+5032,端開一平東,德紅,tung,dòng；dōng,dung1
𩜍,U+2970D,端開一平東,德紅,tung,dōng,
𢘐,U+22610,端開一平東,德紅,tung,,
涷,U+6DB7,"端開一去東
端開一平東","多貢
德紅","tungh
tung",dōng,dung1；dung3
蝀,U+8740,"端開一上東
端開一平東","多動
德紅","tungx
tung",dōng,dung1；dung3
凍,U+51CD,"端開一去東
端開一平東","多貢
德紅","tungh
tung",dòng,dung2；dung3
鯟,U+9BDF,端開一平東,德紅,tung,dōng,dung1
𢔅,U+22505,端開一平東,德紅,tung,dōng,
崠,U+5D20,端開一平東,德紅,tung,dòng；dōng,dung3
埬,U+57EC,端開一平東,德紅,tung,dōng,dung1
𧓕,U+274D5,端開一平東,德紅,tung,dōng,
䰤,U+4C24,端開一平東,德紅,tung,dōng,dung1
同,U+540C,"定開一去東
定開一平東","徒弄
徒紅","dungh
dung",tong；tòng；tóng,tung4
仝,U+4EDD,"定開一平東
從合三平仙A","徒紅
疾緣","dung
zyen",tóng,tung4
童,U+7AE5,定開一平東,徒紅,dung,tóng；zhōng,tung2；tung4
僮,U+50EE,定開一平東,徒紅,dung,chòng；tóng；zhuàng,tung4；zong6
銅,U+9285,定開一平東,徒紅,dung,tóng,tung4
桐,U+6850,定開一平東,徒紅,dung,dòng；tóng；tōng,tung4
峒,U+5CD2,"定開一去東
定開一平東","徒弄
徒紅","dungh
dung",dòng；tóng,dung6；tung4
硐,U+7850,"定開一上東
定開一平東","徒揔
徒紅","dungx
dung",dòng；liú；tóng,dung6
𦨴,U+26A34,定開一平東,徒紅,dung,tóng,tung4
𧱁,U+27C41,定開一平東,徒紅,dung,,
筒,U+7B52,"定開一去東
定開一平東","徒弄
徒紅","dungh
dung",dòng；tóng；tǒng,tung1；tung2；tung4
瞳,U+77B3,定開一平東,徒紅,dung,tóng,tung4
㼧,U+3F27,定開一平東,徒紅,dung,tóng,tung4
𤭁,U+24B41,定開一平東,徒紅,dung,,
罿,U+7F7F,"定開一平東
昌開三平鍾","徒紅
尺容","dung
chjyung",chōng,cung1；tung4
犝,U+729D,定開一平東,徒紅,dung,tóng,tung4
筩,U+7B69,定開一平東,徒紅,dung,dòng；tóng；tǒng；yǒng,tung2；tung4
潼,U+6F7C,"定開一平東
昌開三平鍾","徒紅
尺容","dung
chjyung",chōng；tóng；zhōng,tung4
曈,U+66C8,"定開一平東
透開一上東
透開一平東","徒紅
他孔
他紅","dung
thungx
thung",tóng,tung4
洞,U+6D1E,"定開一去東
定開一平東","徒弄
徒紅","dungh
dung",dòng；tóng,dung2；dung6；tung4
侗,U+4F97,"定開一平東
透開一上東
透開一平東","徒紅
他孔
他紅","dung
thungx
thung",dòng；tóng；tōng；tǒng,dung6；tung2；tung4
橦,U+6A66,"定開一平東
澄開二平江
章開三平鍾","徒紅
宅江
職容","dung
drung
cjyung",chuáng；chōng；tóng；zhōng,cong4；tung4
烔,U+70D4,定開一平東,徒紅,dung,dòng；tóng,cung4；tung4
䴀,U+4D00,定開一平東,徒紅,dung,tóng,tung4
挏,U+630F,"定開一上東
定開一平東","徒揔
徒紅","dungx
dung",dòng,dung6；tung4
酮,U+916E,"定開一上東
定開一平東","徒揔
徒紅","dungx
dung",chóng；dòng；tóng,tung4
鮦,U+9BA6,"定開一平東
澄開三上尤
澄開三上鍾","徒紅
除柳
直隴","dung
driux
dryungx",tóng,tung4；zau6
㼿,U+3F3F,"定開一平東
章開三去鍾","徒紅
之用","dung
cjyungh",tóng；zhòng,tung4
𦏆,U+263C6,定開一平東,徒紅,dung,tóng,
𦍻,U+2637B,定開一平東,徒紅,dung,,
眮,U+772E,"定開一上東
定開一去東
定開一平東","徒揔
徒弄
徒紅","dungx
dungh
dung",tóng,tung4
蕫,U+856B,"定開一平東
端開一上東","徒紅
多動","dung
tungx",dǒng,dung2
穜,U+7A5C,"定開一平東
澄開三平鍾","徒紅
直容","dung
dryung",tóng；zhòng；zhǒng,tung4；zung2；zung3
衕,U+8855,"定開一去東
定開一平東","徒弄
徒紅","dungh
dung",dòng；tòng；tóng,dung6；tung4
𩍅,U+29345,定開一平東,徒紅,dung,tóng,
𢈉,U+22209,定開一平東,徒紅,dung,tóng,
䆚,U+419A,定開一平東,徒紅,dung,dòng；tóng,tung4
哃,U+54C3,定開一平東,徒紅,dung,tóng,tung4
