glyph,unicode,sjeng,xu,hey,tonk,dew,polyhedron中古全拼,fanqie
東,U+6771,端,開,東,一,平,tung,德紅
菄,U+83C4,端,開,東,一,平,tung,德紅
鶇,U+9D87,端,開,東,一,平,tung,德紅
䍶,U+4376,端,開,東,一,平,tung,德紅
𠍀,U+20340,端,開,東,一,平,tung,德紅
倲,U+5032,端,開,東,一,平,tung,德紅
𩜍,U+2970D,端,開,東,一,平,tung,德紅
𢘐,U+22610,端,開,東,一,平,tung,德紅
涷,U+6DB7,端,開,東,一,平,tung,德紅
蝀,U+8740,端,開,東,一,平,tung,德紅
凍,U+51CD,端,開,東,一,平,tung,德紅
鯟,U+9BDF,端,開,東,一,平,tung,德紅
𢔅,U+22505,端,開,東,一,平,tung,德紅
崠,U+5D20,端,開,東,一,平,tung,德紅
埬,U+57EC,端,開,東,一,平,tung,德紅
𧓕,U+274D5,端,開,東,一,平,tung,德紅
䰤,U+4C24,端,開,東,一,平,tung,德紅
同,U+540C,定,開,東,一,平,dung,徒紅
仝,U+4EDD,定,開,東,一,平,dung,徒紅
童,U+7AE5,定,開,東,一,平,dung,徒紅
僮,U+50EE,定,開,東,一,平,dung,徒紅
銅,U+9285,定,開,東,一,平,dung,徒紅
桐,U+6850,定,開,東,一,平,dung,徒紅
峒,U+5CD2,定,開,東,一,平,dung,徒紅
硐,U+7850,定,開,東,一,平,dung,徒紅
𦨴,U+26A34,定,開,東,一,平,dung,徒紅
𧱁,U+27C41,定,開,東,一,平,dung,徒紅
筒,U+7B52,定,開,東,一,平,dung,徒紅
瞳,U+77B3,定,開,東,一,平,dung,徒紅
㼧,U+3F27,定,開,東,一,平,dung,徒紅
𤭁,U+24B41,定,開,東,一,平,dung,徒紅
罿,U+7F7F,定,開,東,一,平,dung,徒紅
犝,U+729D,定,開,東,一,平,dung,徒紅
筩,U+7B69,定,開,東,一,平,dung,徒紅
潼,U+6F7C,定,開,東,一,平,dung,徒紅
曈,U+66C8,定,開,東,一,平,dung,徒紅
洞,U+6D1E,定,開,東,一,平,dung,徒紅
侗,U+4F97,定,開,東,一,平,dung,徒紅
橦,U+6A66,定,開,東,一,平,dung,徒紅
烔,U+70D4,定,開,東,一,平,dung,徒紅
䴀,U+4D00,定,開,東,一,平,dung,徒紅
挏,U+630F,定,開,東,一,平,dung,徒紅
酮,U+916E,定,開,東,一,平,dung,徒紅
鮦,U+9BA6,定,開,東,一,平,dung,徒紅
㼿,U+3F3F,定,開,東,一,平,dung,徒紅
𦏆,U+263C6,定,開,東,一,平,dung,徒紅
𦍻,U+2637B,定,開,東,一,平,dung,徒紅
眮,U+772E,定,開,東,一,平,dung,徒紅
蕫,U+856B,定,開,東,一,平,dung,徒紅
穜,U+7A5C,定,開,東,一,平,dung,徒紅
衕,U+8855,定,開,東,一,平,dung,徒紅
𩍅,U+29345,定,開,東,一,平,dung,徒紅
𢈉,U+22209,定,開,東,一,平,dung,徒紅
䆚,U+419A,定,開,東,一,平,dung,徒紅
哃,U+54C3,定,開,東,一,平,dung,徒紅
𢏕,U+223D5,定,開,東,一,平,dung,徒紅
絧,U+7D67,定,開,東,一,平,dung,徒紅
𨚯,U+286AF,定,開,東,一,平,dung,徒紅
𨝯,U+2876F,定,開,東,一,平,dung,徒紅
𪔝,U+2A51D,定,開,東,一,平,dung,徒紅
𩦶,U+299B6,定,開,東,一,平,dung,徒紅
𪒿,U+2A4BF,定,開,東,一,平,dung,徒紅
中,U+4E2D,知,開,東,三,平,triung,陟弓
衷,U+8877,知,開,東,三,平,triung,陟弓
忠,U+5FE0,知,開,東,三,平,triung,陟弓
𦬕,U+26B15,知,開,東,三,平,triung,陟弓
蟲,U+87F2,澄,開,東,三,平,driung,直弓
沖,U+6C96,澄,開,東,三,平,driung,直弓
种,U+79CD,澄,開,東,三,平,driung,直弓
盅,U+76C5,澄,開,東,三,平,driung,直弓
爞,U+721E,澄,開,東,三,平,driung,直弓
𦬕,U+26B15,澄,開,東,三,平,driung,直弓
翀,U+7FC0,澄,開,東,三,平,driung,直弓
終,U+7D42,章,開,東,三,平,cjung,職戎
衆,U+8846,章,開,東,三,平,cjung,職戎
潨,U+6F68,章,開,東,三,平,cjung,職戎
𣧩,U+239E9,章,開,東,三,平,cjung,職戎
螽,U+87BD,章,開,東,三,平,cjung,職戎
𧑄,U+27444,章,開,東,三,平,cjung,職戎
鼨,U+9F28,章,開,東,三,平,cjung,職戎
蔠,U+8520,章,開,東,三,平,cjung,職戎
柊,U+67CA,章,開,東,三,平,cjung,職戎
𩅧,U+29167,章,開,東,三,平,cjung,職戎
䶱,U+4DB1,章,開,東,三,平,cjung,職戎
鴤,U+9D24,章,開,東,三,平,cjung,職戎
䈺,U+423A,章,開,東,三,平,cjung,職戎
泈,U+6CC8,章,開,東,三,平,cjung,職戎
䝦,U+4766,章,開,東,三,平,cjung,職戎
忡,U+5FE1,徹,開,東,三,平,thriung,敕中
浺,U+6D7A,徹,開,東,三,平,thriung,敕中
盅,U+76C5,徹,開,東,三,平,thriung,敕中
崇,U+5D07,崇,開,東,三,平,zriung,鋤弓
崈,U+5D08,崇,開,東,三,平,zriung,鋤弓
㓽,U+34FD,崇,開,東,三,平,zriung,鋤弓
𩞉,U+29789,崇,開,東,三,平,zriung,鋤弓
嵩,U+5D69,心,開,東,三,平,siung,息弓
崧,U+5D27,心,開,東,三,平,siung,息弓
𪀚,U+2A01A,心,開,東,三,平,siung,息弓
娀,U+5A00,心,開,東,三,平,siung,息弓
菘,U+83D8,心,開,東,三,平,siung,息弓
硹,U+7879,心,開,東,三,平,siung,息弓
㣝,U+38DD,心,開,東,三,平,siung,息弓
𧊕,U+27295,心,開,東,三,平,siung,息弓
𨱿,U+28C7F,心,開,東,三,平,siung,息弓
戎,U+620E,日,開,東,三,平,njung,如融
𢦦,U+229A6,日,開,東,三,平,njung,如融
茙,U+8319,日,開,東,三,平,njung,如融
㭜,U+3B5C,日,開,東,三,平,njung,如融
駥,U+99E5,日,開,東,三,平,njung,如融
𥬪,U+25B2A,日,開,東,三,平,njung,如融
𠈋,U+2020B,日,開,東,三,平,njung,如融
狨,U+72E8,日,開,東,三,平,njung,如融
絨,U+7D68,日,開,東,三,平,njung,如融
弓,U+5F13,見,開,東,三,平,kiung,居戎
躳,U+8EB3,見,開,東,三,平,kiung,居戎
躬,U+8EAC,見,開,東,三,平,kiung,居戎
㴦,U+3D26,見,開,東,三,平,kiung,居戎
宮,U+5BAE,見,開,東,三,平,kiung,居戎
匑,U+5311,見,開,東,三,平,kiung,居戎
融,U+878D,以,開,東,三,平,jung,以戎
肜,U+809C,以,開,東,三,平,jung,以戎
瀜,U+701C,以,開,東,三,平,jung,以戎
雄,U+96C4,云,開,東,三,平,iung,羽弓
熊,U+718A,云,開,東,三,平,iung,羽弓
瞢,U+77A2,明,開,東,三,平,miung,莫中
夢,U+5922,明,開,東,三,平,miung,莫中
𨞯,U+287AF,明,開,東,三,平,miung,莫中
懜,U+61DC,明,開,東,三,平,miung,莫中
